club,club_logo
Querétaro,https://cdn.futbin.com/content/fifa18/img/clubs/110150.png
Dijon FCO,https://cdn.futbin.com/content/fifa18/img/clubs/110569.png
Olympiakos CFP,https://cdn.futbin.com/content/fifa18/img/clubs/280.png
KRC Genk,https://cdn.futbin.com/content/fifa18/img/clubs/673.png
FC Basel,https://cdn.futbin.com/content/fifa18/img/clubs/896.png
Club América,https://cdn.futbin.com/content/fifa18/img/clubs/1879.png
Montpellier Hérault SC,https://cdn.futbin.com/content/fifa18/img/clubs/70.png
Monterrey,https://cdn.futbin.com/content/fifa18/img/clubs/1032.png
Seattle Sounders FC,https://cdn.futbin.com/content/fifa18/img/clubs/111144.png
River Plate,https://cdn.futbin.com/content/fifa18/img/clubs/1876.png
CPD Junior Barranquilla,https://cdn.futbin.com/content/fifa18/img/clubs/101101.png
Stade Rennais FC,https://cdn.futbin.com/content/fifa18/img/clubs/74.png
Wolverhampton Wanderers,https://cdn.futbin.com/content/fifa18/img/clubs/110.png
Akhisar Belediyespor,https://cdn.futbin.com/content/fifa18/img/clubs/111340.png
Rubin Kazan,https://cdn.futbin.com/content/fifa18/img/clubs/110227.png
PAOK Thessaloniki,https://cdn.futbin.com/content/fifa18/img/clubs/393.png
Pachuca,https://cdn.futbin.com/content/fifa18/img/clubs/110147.png
Club León,https://cdn.futbin.com/content/fifa18/img/clubs/110781.png
U.N.A.M.,https://cdn.futbin.com/content/fifa18/img/clubs/1881.png
Granada CF,https://cdn.futbin.com/content/fifa18/img/clubs/110832.png
Necaxa,https://cdn.futbin.com/content/fifa18/img/clubs/101121.png
Colo-Colo,https://cdn.futbin.com/content/fifa18/img/clubs/110980.png
KAA Gent,https://cdn.futbin.com/content/fifa18/img/clubs/674.png
Middlesbrough,https://cdn.futbin.com/content/fifa18/img/clubs/12.png
Toulouse FC,https://cdn.futbin.com/content/fifa18/img/clubs/1809.png
Girona CF,https://cdn.futbin.com/content/fifa18/img/clubs/110062.png
BSC Young Boys,https://cdn.futbin.com/content/fifa18/img/clubs/900.png
FC St. Gallen,https://cdn.futbin.com/content/fifa18/img/clubs/898.png
Santos Futebol Clube,https://cdn.futbin.com/content/fifa18/img/clubs/1053.png
Cagliari,https://cdn.futbin.com/content/fifa18/img/clubs/1842.png
Rio Ave FC,https://cdn.futbin.com/content/fifa18/img/clubs/744.png
Norwich City,https://cdn.futbin.com/content/fifa18/img/clubs/1792.png
Grêmio Foot-Ball Porto Alegrense,https://cdn.futbin.com/content/fifa18/img/clubs/1629.png
Estudiantes de La Plata,https://cdn.futbin.com/content/fifa18/img/clubs/101083.png
